Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
18,Jafar,Aladdin,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",518.07,1017,2220.54,2017,2220.54,-406.48,3029,-406.48
12,Simba,Disney,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",1336.79,1011,373.47,2011,373.47,-1220.11,4931,-1220.11
38,Alex,Avila,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",85.09,1037,516.33,2037,516.33,-1827.58,3484,-1827.58
30,Pinocchio,Disney,20-Mar-08,"1313 Disneyland Dr, Anaheim, CA 92802",1280.77,1029,1412.45,2029,1412.45,-14.76,9149,-14.76
36,Stitch,Disney,3-Feb-28,"1313 Disneyland Dr, Anaheim, CA 92802",387.32,1035,4919.61,2035,4919.61,-16.87,8172,-16.87
15,Peter,Pan,29-May-87,"1313 Disneyland Dr, Anaheim, CA 92802",41.62,1014,2252.52,2014,2252.52,-1137.78,5699,-1137.78
10,Jasmine,Disney,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",633.94,1009,1087.1,2009,1087.1,-1797.38,9736,-1797.38
102,Daniel,Y,12-Mar-84,"500 W. University Ave, El Paso, TX 79968",738.93,1101,3810.87,2101,3810.87,-199.91,6534,-199.91
103,Daniel,Z,9-Aug-56,"500 W. University Ave, El Paso, TX 79968",1825.29,1102,4635.0,2102,4635,-649.08,5697,-649.08
63,Judith,Garcia,7-Mar-97,"500 W. University Ave, El Paso, TX 79968",1740.54,1062,3508.77,2062,3508.77,-444.56,5693,-444.56
29,Evil,Queen,19-Dec-42,"1313 Disneyland Dr, Anaheim, CA 92802",238.09,1028,4844.83,2028,4844.83,-367.09,7647,-367.09
61,Juan,Gutierrez,9-Jan-89,"500 W. University Ave, El Paso, TX 79968",526.23,1060,3227.73,2060,3227.73,-1581.21,9566,-1581.21
94,Daniel,Q,7-Feb-71,"500 W. University Ave, El Paso, TX 79968",498.13,1093,205.32,2093,205.32,-673.84,4002,-673.84
62,Juan,Rabelo,29-Apr-52,"500 W. University Ave, El Paso, TX 79968",1851.26,1061,3607.48,2061,3607.48,-674.27,3109,-674.27
95,Daniel,R,20-Apr-94,"500 W. University Ave, El Paso, TX 79968",745.03,1094,1288.97,2094,1288.97,-1040.57,9008,-1040.57
52,Estevan,Ramos,15-Dec-36,"500 W. University Ave, El Paso, TX 79968",760.91,1051,2939.07,2051,2939.07,-860.87,6176,-860.87
96,Daniel,S,8-Jan-91,"500 W. University Ave, El Paso, TX 79968",1197.47,1095,2944.12,2095,2944.12,-718.69,7282,-718.69
97,Daniel,T,22-Oct-92,"500 W. University Ave, El Paso, TX 79968",894.63,1096,4884.23,2096,4884.23,-828.59,5066,-828.59
58,Isaiah,Landin,28-Feb-28,"500 W. University Ave, El Paso, TX 79968",1816.52,1057,1600.38,2057,1600.38,-407.11,6858,-407.11
98,Daniel,U,27-May-88,"500 W. University Ave, El Paso, TX 79968",417.42,1097,840.66,2097,840.66,-978.33,6171,-978.33
49,Derek,Aguirre,5-May-41,"500 W. University Ave, El Paso, TX 79968",1845.56,1048,3352.49,2048,3352.49,-58.57,8899,-58.57
50,Eduardo,Garcia,2-Jun-92,"500 W. University Ave, El Paso, TX 79968",1243.42,1049,1243.48,2049,1243.48,-862.06,6262,-862.06
60,Joseph,Medina - Sandoval,18-Sep-36,"500 W. University Ave, El Paso, TX 79968",903.51,1059,3790.64,2059,3790.64,-678.52,8612,-678.52
99,Daniel,V,25-Aug-06,"500 W. University Ave, El Paso, TX 79968",1187.71,1098,2405.55,2098,2405.55,-1052.86,8400,-1052.86
100,Daniel,W,14-Jun-96,"500 W. University Ave, El Paso, TX 79968",1239.64,1099,261.75,2099,261.75,-470.23,7958,-470.23
101,Daniel,X,25-Nov-84,"500 W. University Ave, El Paso, TX 79968",122.74,1100,4668.29,2100,4668.29,-817.67,5540,-817.67
16,Woody,Disney,2-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",258.06,1015,2429.23,2015,2429.23,-1005.79,7932,-1005.79
87,Daniel,I,23-Dec-35,"500 W. University Ave, El Paso, TX 79968",1927.47,1086,2348.02,2086,2348.02,-1927.99,7232,-1927.99
88,Daniel,J,20-Oct-43,"500 W. University Ave, El Paso, TX 79968",1924.71,1087,2813.64,2087,2813.64,-986.39,8702,-986.39
89,Daniel,K,8-May-73,"500 W. University Ave, El Paso, TX 79968",1082.73,1088,3471.09,2088,3471.09,-88.26,6307,-88.26
3,Minnie,Mouse,3-Nov-94,"1313 Disneyland Dr, Anaheim, CA 92802",1894.16,1002,327.99,2002,327.99,-239.31,3442,-239.31
90,Daniel,L,19-Jul-98,"500 W. University Ave, El Paso, TX 79968",585.99,1089,180.84,2089,180.84,-777.42,9320,-777.42
11,Aladdin,Disney,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",140.78,1010,3431.15,2010,3431.15,-1989.22,7398,-1989.22
91,Daniel,N,4-Mar-59,"500 W. University Ave, El Paso, TX 79968",364.34,1090,2226.15,2090,2226.15,-1623.03,4837,-1623.03
92,Daniel,O,16-Sep-03,"500 W. University Ave, El Paso, TX 79968",1710.28,1091,2761.08,2091,2761.08,-0.1,7732,-0.1
93,Daniel,P,16-Feb-03,"500 W. University Ave, El Paso, TX 79968",1069.19,1092,3519.67,2092,3519.67,-1963.63,7626,-1963.63
79,Daniel,A,5-Mar-39,"500 W. University Ave, El Paso, TX 79968",1257.56,1078,3364.79,2078,3364.79,-786.93,7985,-786.93
80,Daniel,B,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",362.4,1079,2413.6,2079,2413.6,-1911.51,8357,-1911.51
8,Cinderella,Disney,3-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",915.54,1007,2977.94,2007,2977.94,-4.16,7415,-4.16
81,Daniel,C,25-May-47,"500 W. University Ave, El Paso, TX 79968",909.74,1080,342.74,2080,342.74,-505.4,9400,-505.4
82,Daniel,D,7-Oct-01,"500 W. University Ave, El Paso, TX 79968",731.6,1081,3235.49,2081,3235.49,-883.24,9172,-883.24
83,Daniel,E,17-Jun-72,"500 W. University Ave, El Paso, TX 79968",190.25,1082,3689.98,2082,3689.98,-269.32,7011,-269.32
40,Alfredo,Rodriguez,14-Feb-02,"500 W. University Ave, El Paso, TX 79968",1772.98,1039,3443.94,2039,3443.94,-1734.35,4766,-1734.35
84,Daniel,F,24-Mar-86,"500 W. University Ave, El Paso, TX 79968",214.25,1083,1020.81,2083,1020.81,-814.22,7196,-814.22
55,Gildardo,Orea,13-Mar-51,"500 W. University Ave, El Paso, TX 79968",291.85,1054,179.25,2054,179.25,-1514.01,4072,-1514.01
85,Daniel,G,18-Nov-77,"500 W. University Ave, El Paso, TX 79968",1930.6,1084,3788.92,2084,3788.92,-1101.55,8439,-1101.55
26,Shere,Khan,21-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",688.77,1025,1735.62,2025,1735.62,-115.92,7035,-115.92
86,Daniel,H,2-May-37,"500 W. University Ave, El Paso, TX 79968",1326.34,1085,3465.11,2085,3465.11,-1977.56,9853,-1977.56
74,Sofia,Hernandez,20-Apr-52,"500 W. University Ave, El Paso, TX 79968",1515.79,1073,740.81,2073,740.81,-1721.04,9291,-1721.04
46,Christopher,Reyes,4-May-89,"500 W. University Ave, El Paso, TX 79968",1330.23,1045,4039.37,2045,4039.37,-444.4,9283,-444.4
14,Aurora,Disney,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",343.45,1013,4806.74,2013,4806.74,-169.44,8372,-169.44
23,Scar,Lion,29-Jul-29,"1313 Disneyland Dr, Anaheim, CA 92802",941.51,1022,4326.32,2022,4326.32,-140.99,4563,-140.99
53,Federico,Marin,18-Jan-09,"500 W. University Ave, El Paso, TX 79968",1917.27,1052,2348.86,2052,2348.86,-267.18,3977,-267.18
73,Roberto,Carrasco,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",1152.39,1072,2408.91,2072,2408.91,-160.0,9319,-160
59,Jose,Rodriguez Ortega,8-Sep-52,"500 W. University Ave, El Paso, TX 79968",398.46,1058,789.31,2058,789.31,-405.22,8718,-405.22
70,Minh,Dang,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",623.42,1069,1691.78,2069,1691.78,-1966.94,5351,-1966.94
45,Cesar,Cabrera,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",1806.19,1044,1685.66,2044,1685.66,-1906.17,9182,-1906.17
31,Prince,Eric,10-Feb-05,"1313 Disneyland Dr, Anaheim, CA 92802",1250.24,1030,4505.0,2030,4505,-1413.12,7019,-1413.12
6,Chip,Disney,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",32.84,1005,3687.14,2005,3687.14,-1451.7,8089,-1451.7
25,Gaston,Disney,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",168.24,1024,994.47,2024,994.47,-1264.11,3397,-1264.11
66,Lidice,Castro Jimenez,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",1942.67,1065,655.67,2065,655.67,-1930.17,4080,-1930.17
34,Mulan,Disney,14-Oct-79,"1313 Disneyland Dr, Anaheim, CA 92802",1774.26,1033,1216.15,2033,1216.15,-397.68,7881,-397.68
1,Mickey,Mouse,25-Apr-92,"1313 Disneyland Dr, Anaheim, CA 92802",403.12,1000,4479.46,2000,4479.46,-1653.84,9151,-1653.84
22,Cruella,De Vil,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",1132.61,1021,4261.53,2021,4261.53,-319.71,7949,-319.71
13,Mufassa,Disney,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",148.68,1012,3846.05,2012,3846.05,-1112.18,7463,-1112.18
2,Donald,Duck,7-Apr-94,"1313 Disneyland Dr, Anaheim, CA 92802",1928.58,1001,3582.37,2001,3582.37,-1513.57,8147,-1513.57
57,Hernan,Garcia,30-Mar-42,"500 W. University Ave, El Paso, TX 79968",135.23,1056,3011.8,2056,3011.8,-990.67,8216,-990.67
78,Daniel,Mejia,29-Jan-36,"500 W. University Ave, El Paso, TX 79968",1887.12,1077,2051.62,2077,2051.62,-1231.96,7600,-1231.96
35,Lilo,Disney,19-Jul-44,"1313 Disneyland Dr, Anaheim, CA 92802",1763.47,1034,1942.89,2034,1942.89,-1715.37,7722,-1715.37
7,Dale,Disney,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",894.1,1006,4091.61,2006,4091.61,-53.21,3219,-53.21
65,Laurence,Labayen,11-Mar-10,"500 W. University Ave, El Paso, TX 79968",1079.13,1064,4572.26,2064,4572.26,-1064.52,5079,-1064.52
19,Ursela,Mermaid,30-Jun-00,"1313 Disneyland Dr, Anaheim, CA 92802",1333.17,1018,1503.63,2018,1503.63,-1147.68,6570,-1147.68
76,Nathan,Aun,6-Aug-94,"500 W. University Ave, El Paso, TX 79968",1352.3,1075,132.29,2075,132.29,-1240.71,8789,-1240.71
56,Grecia,Navarrete,1-Aug-60,"500 W. University Ave, El Paso, TX 79968",1622.04,1055,2738.6,2055,2738.6,-305.52,9764,-305.52
77,Khandoker,Rahad,15-Jun-57,"500 W. University Ave, El Paso, TX 79968",220.57,1076,1902.09,2076,1902.09,-157.39,4822,-157.39
48,David,Baptiste,5-May-98,"500 W. University Ave, El Paso, TX 79968",1076.98,1047,3271.72,2047,3271.72,-281.86,7772,-281.86
44,Brandon,Bustamante,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",355.39,1043,3764.74,2043,3764.74,-1452.54,6698,-1452.54
42,Anthony,Jasso,8-Dec-44,"500 W. University Ave, El Paso, TX 79968",661.74,1041,547.41,2041,547.41,-530.31,3753,-530.31
